Date,NO3NO2
1/6/17,0.09
1/11/17,1.57
1/19/17,0
1/25/17,0.01
2/1/17,0.02
2/8/17,0
2/15/17,0
2/22/17,0
3/1/17,0
3/10/17,0
3/16/17,0
3/21/17,0
3/29/17,0
4/5/17,0
4/11/17,0
4/19/17,0
4/27/17,0
5/3/17,0
5/12/17,1.46
5/17/17,2.11
5/24/17,1.84
5/31/17,1.03
6/9/17,1.18
6/14/17,0.25
6/22/17,0.64
6/29/17,0.01
7/5/17,0
7/11/17,0.31
7/19/17,0.72
7/26/17,1.01
8/2/17,0.21
8/10/17,0.77
8/16/17,0.89
8/23/17,1.59
8/30/17,0.32
9/5/17,1.41
9/13/17,2.74
9/23/17,6.57
9/27/17,3.68
10/2/17,1.77
10/13/17,0.72
10/20/17,1.15
10/27/17,1.76
11/2/17,2.22
11/10/17,6.12
11/17/17,4.34
11/21/17,5.51
11/29/17,8.03
12/5/17,9.11
12/13/17,9.39
12/19/17,9.41
12/27/17,11.02
1/3/18,6.87
1/10/18,1.32
1/19/18,0
1/23/18,0.24
2/1/18,0.13
2/6/18,0.17
2/15/18,0.36
2/20/18,0.66
2/27/18,3.57
3/15/18,1.14
3/20/18,0.18
3/27/18,0.05
4/3/18,0.05
4/10/18,0.05
4/17/18,0.05
4/24/18,0.05
5/2/18,0.08
5/8/18,0.05
5/15/18,0.07
5/22/18,0.05
5/30/18,0.53
6/5/18,0.67
6/12/18,0.36
6/19/18,0.52
6/26/18,0.66
7/3/18,0.17
7/10/18,0.13
7/17/18,0.36
7/24/18,0.87
7/31/18,0.19
8/7/18,0.37
8/15/18,0.9
8/21/18,0.27
8/29/18,0.22
9/4/18,0.82
9/11/18,1.26
9/21/18,2.6
9/26/18,2.3
10/5/18,4.92
10/11/18,5.35
10/17/18,6.25
10/23/18,7.52
10/31/18,9.61
11/7/18,7.07
11/14/18,9.53
11/21/18,11.95
11/28/18,9.12
12/4/18,9.05
12/13/18,11.04
12/18/18,9.08
12/27/18,7.28
1/2/19,6.79
1/8/19,7.41
1/17/19,6.29
1/23/19,1.91
1/29/19,1.54
2/5/19,0.16
2/13/19,0.05
2/19/19,0.63
2/26/19,1.15
3/8/19,0
3/12/19,0.17
3/22/19,0.05
3/28/19,0.05
4/5/19,0.03
4/9/19,0.34
4/16/19,0.22
4/23/19,0.17
4/30/19,0.23
5/7/19,0.41
5/14/19,0.86
5/21/19,0.29
5/29/19,0.1
6/5/19,0.12