Site,Date,NO3NO2_µM,PO4_µM,NH4_µM,Note_nd_replaced_with_zero
Moonstone Sled,12/12/18,0,1.07,2.14,
Moonstone Sled,2/6/19,6.7,0.65,1.71,
Moonstone Sled,3/14/19,0,0.52,1.29,
Moonstone Sled,4/14/19,0,0.16,1.14,
Moonstone Sled,5/2/19,2.9,0.19,0,
Moonstone Dredge,12/12/18,1.5,0.36,0,
Moonstone Dredge,3/14/19,0,0.29,0,
Moonstone Dredge,4/14/19,0,0.23,1.42,
Moonstone Dredge,5/2/19,0,0.13,0,
Rome Point,12/20/18,8.6,0.81,1.64,
Rome Point,2/21/19,0,0.26,1.36,
Rome Point,3/13/19,0,0.26,1.29,
Fox Island,12/20/18,9,0.87,1.36,
Fox Island,2/6/19,0,0.19,1.14,
Wickford,12/19/18,10.1,0.71,1.36,
Wickford,2/11/19,2.6,0.23,1.79,
Wickford,3/13/19,0,0.13,0,
Potters Pond,2/14/19,2.4,0.32,1.43,
Potters Pond,3/18/19,4.1,0.55,1.79,
Rome Point,5/23/19,0,0.42,1.32,
Wickford,5/23/19,0,0.39,1.43,
Moonstone Dredge,5/23/19,0,0.26,2.74,
Moonstone Sled,5/23/19,0,0.19,1.14,